Type,Title,Summary,Author,Publication Date
Article,Dopamine-mediated interactions between short- and long-term memory dynamics,N/A,"Cheng Huang, Junjie Luo, Mark J. Schnitzer",22-Jul-24
Where I Work,I pioneered a method to study cement using a particle accelerator,Materials scientist Shiva Shirani measures how cement hardens at the nanoscale to inform how to develop a more eco-friendly material.,Virginia Gewin,22-Jul-24
Article,Neural general circulation models for weather and climate,A hybrid model that combines a differentiable solver for atmospheric dynamics with machine-learning components is capable of weather forecasts and climate simulations on par with the best machine-learning and physics-based methods.,"Dmitrii Kochkov, Janni Yuval, Stephan Hoyer",22-Jul-24
News,What Kamala Harris’s historic bid for the US presidency means for science,"The daughter of a scientist and a supporter of diversity in STEM, Harris as a potential candidate has stirred optimism among scientists.","Max Kozlov, Mariana Lenharo, Jeff Tollefson",22-Jul-24
News,AI ‘deepfake’ faces detected using astronomy methods,Analysing reflections of light in the eyes can help to determine an image’s authenticity.,Sarah Wild,22-Jul-24
Career Column,I’ve built a career without a big golden grant. Here’s how,"NIH funding is the goal for many US health researchers, but you can be successful in academia without it, says Brandon Brown.",Brandon  Brown,22-Jul-24
Technology Feature,ChatGPT for science: how to talk to your data,Companies are using artificial intelligence tools to help scientists to query their data without the need for programming skills.,Julian Nowogrodzki,22-Jul-24
News,Mystery oxygen source discovered on the sea floor — bewildering scientists,"A chemical reaction could be producing oxygen by splitting water molecules, but its source of energy remains unknown.",Davide Castelvecchi,22-Jul-24
Nature Briefing,Daily briefing: Drop in US–China collaborations will hinder important advances,"The shrivelling of collaboration will hold back research on priorities such as global warming, pandemics and food security. Plus, how to build a career that doesn’t hinge on big grants.",Flora Graham,22-Jul-24
Nature Careers Podcast,A dumpster full of mercury and other things to avoid: lab closures made simple,Julie Gould hears about the practicalities of shutting down or handing over a lab as retirement looms.,Julie Gould,22-Jul-24
Book Review,"Could crabs be conscious, can you beat hypochondria and more: top reads for summer",Ten ofNature’s recent contributors share their current book obsessions.,"Harini Nagendra, Rhona Mijumbi, Timiebi Aganaba",22-Jul-24
Author Correction,Author Correction:TAp63suppresses metastasis through coordinate regulation ofDicerand miRNAs,N/A,"Xiaohua Su, Deepavali Chakravarti, Elsa R. Flores",19-Jul-24
Research Highlight,Found: the hidden link between star-forming molecular clouds,Connections between three interstellar clouds of gas and dust offer a glimpse into their birth.,"N, /, A",19-Jul-24
News,China–US research collaborations are in decline — this is bad news for everyone,Scientists say that the drop in partnerships between the scientific powerhouses will hold back research on priorities such as global warming.,Gemma Conroy,19-Jul-24
Nature Briefing,Daily briefing: What it’s like to attend a predatory conference,"The signs of a predatory conference can be hard to spot — until you walk into an empty room. Plus, NASA cancels a Moon rover mission and long-COVID lung damage is linked to immune system response.",Flora Graham,19-Jul-24
News,Hundreds of racist plant names will change after historic vote by botanists,Scientific designations containing a racial slur will be altered — the first time that any species names have been adjusted because of the offence they cause.,Ewen Callaway,18-Jul-24
News,Dogs might have evolved to read your emotions,"Emotional contagion between humans and canines comes from centuries of selective breeding, suggests a comparison with pet pigs.",Freda Kreier,18-Jul-24
Article,Catalysis of an SN2 pathway by geometric preorganization,A small-molecule (646 Da) hydrogen-bond-donor catalyst accelerates the SN2 step of an enantioselective Michaelis–Arbuzov reaction by recapitulating the geometric preorganization principle used by enzymes.,"Gabriel J. Lovinger, Marcus H. Sak, Eric N. Jacobsen",18-Jul-24
News,NASA cancels $450-million mission to drill for ice on the Moon — surprising researchers,The already-built rover could now be scrapped for parts.,Alix  Soliman,18-Jul-24
News,Long COVID lung damage linked to immune system response,Inhibiting a protein associated with chronic inflammation improves lung health in mice with COVID-19.,Helena Kudiabor,18-Jul-24
News,Three-year delay for Indian census frustrates researchers,"Without up-to-date data on the population, scientists say studies on fertility, migration and health outcomes have become unreliable.",Smriti Mallapaty,18-Jul-24
Nature Briefing,Daily briefing: Blocking an inflammation protein lets mice live longer,"Mice live longer and healthier when the inflammation-boosting protein IL-11 is blocked. Plus, how magic mushrooms reset your sense of time and self.",Katrina Krämer,18-Jul-24
Career Feature,What is it like to attend a predatory conference?,Naturesent a reporter to find out as part of an investigation into dud events.,Christine Ro,18-Jul-24
Outlook,"Even with no drug or vaccine, eradication of Guinea worm is in sight","Community-based efforts have reduced the parasitic infection to a handful of cases in humans each year, but the emergence of infections in dogs and other animals threatens to derail progress.",Sarah DeWeerdt,18-Jul-24
Perspective,A roadmap for affordable genetic medicines,N/A,"Melinda Kliegman, Manar Zaghlula, Jennifer A. Doudna",17-Jul-24
Nature Video,This tiny solar-powered flyer weighs less than a paper plane,The 4.21g rotorcraft — dubbed CoulombFly — could forge a path to new kinds of tiny aerial vehicles.,Dan Fox,17-Jul-24
Article,The enduring world forest carbon sink,"Data from boreal, temperate and tropical forests over the past three decades reveal that the global forest carbon sink has remained steady during that time, despite considerable regional variation.","Yude Pan, Richard A. Birdsey, Daniel Murdiyarso",17-Jul-24
Article,Symbolic recording of signalling andcis-regulatory element activity to DNA,"Enhancer-driven genomic recording of transcriptional activity in multiplex (ENGRAM) is used for multiplex recording of the cell-type-specific activities of dozens to hundreds ofcis-regulatory elements with high fidelity, sensitivity and reproducibility.","Wei Chen, Junhong Choi, Jay Shendure",17-Jul-24
Article,Giant chiral magnetoelectric oscillations in a van der Waals multiferroic,Precision measurement of the dynamical magnetoelectric coupling in an exfoliated van der Waals multiferroic shows a giant natural optical activity at terahertz frequencies.,"Frank Y. Gao, Xinyue Peng, Edoardo Baldini",17-Jul-24
Article,Superconductivity in pressurized trilayer La4Ni3O10−δsingle crystals,"The application of pressure effectively suppresses the spin–charge order in trilayer nickelate La4Ni3O10−δsingle crystals, leading to the emergence of superconductivity.","Yinghao Zhu, Di Peng, Jun Zhao",17-Jul-24
Article,Inhibition of IL-11 signalling extends mammalian healthspan and lifespan,"IL-11 is identified as a key regulator of ERK–AMPK–mTORC1 signalling, metabolism, inflammation and age-related disease and lifespan in mouse and human.","Anissa A. Widjaja, Wei-Wen Lim, Stuart A. Cook",17-Jul-24
Article,An engineered enzyme embedded into PLA to make self-biodegradable plastic,Embedding of a new engineered thermostable hydrolase into polymer materials enables the production of biodegradable and home-compostable plastics suitable for industrial packaging applications.,"M. Guicherd, M. Ben Khaled, A. Marty",17-Jul-24
Article,Thresholds for adding degraded tropical forest to the conservation estate,"An analysis of the impact of logging intensity on biodiversity in tropical forests in Sabah, Malaysia, identifies a threshold of tree biomass removal below which logged forests still have conservation value.","Robert M. Ewers, C. David L. Orme, Cristina Banks-Leite",17-Jul-24
Article,Adaptation to photoperiod via dynamic neurotransmitter segregation,"Changes in day length, conveyed by the preoptic area, drive axonal neurotransmitter reorganization in median raphe dual serotonin–glutamate neurons to regulate behaviour and sleep timing, highlighting a photoperiod-sensitive brain circuit.","G. Maddaloni, Y. J. Chang, S. M. Dymecki",17-Jul-24
Article,A hot-Jupiter progenitor on a super-eccentric retrograde orbit,"The spectroscopic and photometric observations of a high-mass, transiting warm Jupiter, TIC 241249530 b, with an orbital eccentricity of 0.94, provide evidence that hot Jupiters may have formed by means of a high-eccentricity tidal-migration pathway.","Arvind F. Gupta, Sarah C. Millholland, Carl Ziegler",17-Jul-24
Article,Psilocybin desynchronizes the human brain,"Healthy adults were tracked before, during and after high doses of psilocybin and methylphenidate to assess how psychedelics can change human brain networks, and psilocybin was found to massively disrupt functional connectivity in cortex and subcortex with some changes persisting for weeks.","Joshua S. Siegel, Subha Subramanian, Nico U. F. Dosenbach",17-Jul-24
